ECG_R_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_R_Onsets,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Onsets,ECG_R_Offsets,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_LF,HRV_HF,HRV_LFHF,Label
12,12,12,12,12,12,12,12,104.68205831628141,1157.3232323232323,83.66851782732188,0.07229485721060323,,,,0
14,14,14,14,14,14,14,14,29.21072510064326,911.7521367521367,31.977717095345398,0.035072818375021436,,,,0
12,12,12,12,12,12,12,12,20.06932429798714,1109.3434343434344,23.18313853769398,0.02089807161604101,,,,0
11,11,11,11,11,11,11,11,20.24371398988469,1197.2222222222222,18.70278692289276,0.015621817383390704,,,,0
13,13,13,13,13,13,13,13,38.535552113022135,1098.1481481481483,34.457746969661464,0.031378049517061024,,,,1
12,12,12,12,12,12,12,12,67.47770550886227,1162.878787878788,62.992169894467594,0.05416916238481903,,,,1
12,12,12,12,12,12,12,12,81.75354411466604,1117.4242424242423,54.73125854735419,0.04897983815763223,,,,1
12,12,12,12,12,12,12,12,54.06329166979051,1173.7373737373737,57.01369280469237,0.048574488706235326,,,,0
11,11,11,11,11,11,11,11,62.83347250860572,1307.2222222222222,56.97567646979434,0.043585302866820996,,,,0
15,15,15,15,15,15,15,15,262.78220483793643,877.3809523809524,194.16908812931095,0.2213053378950084,,,,0
12,12,12,12,12,12,12,12,105.27008180607059,1161.3636363636363,103.68558944730361,0.08927917682350997,,,,1
9,9,9,9,9,9,9,9,126.45973071323334,1562.5,93.2345471164745,0.05967011015454368,,,,1
12,12,12,12,12,12,12,12,21.11841978749806,1109.3434343434344,14.972852350826207,0.013497039678869059,,,,1
10,10,10,10,10,10,10,10,18.108895570007274,1323.148148148148,15.340779190537836,0.011594150822799765,,,,0
10,10,10,10,10,10,10,10,24.883990093290155,1326.851851851852,22.091630167481785,0.01664965846537357,,,,1
11,11,11,11,11,11,11,11,312.1167059521657,1204.4444444444443,285.9723383938989,0.2374309082606172,,,,1
9,9,9,9,9,9,9,9,16.69970270833406,1532.9861111111109,17.844461987775375,0.011640328544686997,,,,1
12,12,12,12,12,12,12,12,143.4474136881776,1196.2121212121212,130.61625496317856,0.10919154943090291,,,,0
8,8,8,8,8,8,8,8,557.3339591082789,1617.4603174603176,471.4637544101521,0.29148396985122255,,,,0
9,9,9,9,9,9,9,9,51.55218585046801,1384.375,45.083146289551244,0.03256570386604153,,,,0
18,18,18,18,18,18,18,18,455.872497301928,737.4183006535948,351.8951086384409,0.4771987735136845,,,,1
10,10,10,10,10,10,10,10,87.81908310854021,1301.2345679012346,75.2966242181925,0.05786552715060334,,,,1
11,11,11,11,11,11,11,11,25.909386258580057,1216.6666666666665,26.287165864034066,0.02160588975126088,,,,1
16,16,16,16,16,16,16,16,592.862919905556,789.0740740740741,385.8261862198536,0.48896066782145253,,,,0
16,16,16,16,16,16,16,16,300.6340668515055,766.6666666666666,228.81105164414012,0.29844919779670454,,,,0
12,12,12,12,12,12,12,12,588.549430463377,1121.212121212121,488.3666287588633,0.4355702364606079,,,,0
10,10,10,10,10,10,10,10,359.75707681849383,1263.2716049382716,314.91590152657193,0.2492859811742226,,,,1
14,14,14,14,14,14,14,14,91.35750333518239,980.982905982906,70.66379632759386,0.07203366735202336,,,,0
16,16,16,16,16,16,16,16,269.4434216966353,837.9629629629629,215.01114226764096,0.2565878824851406,,,,0
19,19,19,19,19,19,19,19,390.1607353630384,698.1481481481483,261.49151819628565,0.3745501852148388,,,,1
13,13,13,13,13,13,13,13,393.00134365765575,1022.2222222222223,361.88921607835283,0.3540220592070843,,,,1
